Date,CO2
1998-05,369.42
1998-06,368.99
1998-07,367.82
1998-08,365.95
1998-09,364.02
1998-10,364.4
1998-11,365.52
1998-12,367.13
1999-01,368.18
1999-02,369.07
1999-03,369.68
1999-04,370.99
1999-05,370.96
1999-06,370.3
1999-07,369.45
1999-08,366.9
1999-09,364.81
1999-10,365.37
1999-11,366.72
1999-12,368.1
2000-01,369.29
2000-02,369.54
2000-03,370.6
2000-04,371.81
2000-05,371.58
2000-06,371.7
2000-07,369.86
2000-08,368.13
2000-09,367.0
2000-10,367.03
2000-11,368.37
2000-12,369.67
2001-01,370.59
2001-02,371.51
2001-03,372.43
2001-04,373.37
2001-05,373.85
2001-06,373.21
2001-07,371.51
2001-08,369.61
2001-09,368.18
2001-10,368.45
2001-11,369.76
2001-12,371.24
2002-01,372.53
2002-02,373.2
2002-03,374.12
2002-04,375.02
2002-05,375.76
2002-06,375.52
2002-07,374.01
2002-08,371.85
2002-09,370.75
2002-10,370.55
2002-11,372.25
2002-12,373.79
2003-01,374.88
2003-02,375.64
2003-03,376.45
2003-04,377.73
2003-05,378.6
2003-06,378.28
2003-07,376.7
2003-08,374.38
2003-09,373.17
2003-10,373.14
2003-11,374.66
2003-12,375.99
2004-01,377.0
2004-02,377.87
2004-03,378.88
2004-04,380.35
2004-05,380.62
2004-06,379.69
2004-07,377.47
2004-08,376.01
2004-09,374.25
2004-10,374.46
2004-11,376.16
2004-12,377.51
2005-01,378.46
2005-02,379.73
2005-03,380.77
2005-04,382.29
2005-05,382.45
2005-06,382.21
2005-07,380.74
2005-08,378.74
2005-09,376.7
2005-10,377.0
2005-11,378.35
2005-12,380.11
2006-01,381.38
2006-02,382.19
2006-03,382.67
2006-04,384.61
2006-05,385.03
2006-06,384.05
2006-07,382.46
2006-08,380.41
2006-09,378.85
2006-10,379.13
2006-11,380.15
2006-12,381.82
2007-01,382.89
2007-02,383.9
2007-03,384.58
2007-04,386.5
2007-05,386.56
2007-06,386.1
2007-07,384.5
2007-08,381.99
2007-09,380.96
2007-10,381.12
2007-11,382.45
2007-12,383.95
2008-01,385.52
2008-02,385.82
2008-03,386.03
2008-04,387.21
2008-05,388.54
2008-06,387.76
2008-07,386.36
2008-08,384.09
2008-09,383.18
2008-10,382.99
2008-11,384.19
2008-12,385.56
2009-01,386.94
2009-02,387.48
2009-03,388.82
2009-04,389.55
2009-05,390.14
2009-06,389.48
2009-07,388.03
2009-08,386.11
2009-09,384.74
2009-10,384.43
2009-11,386.02
2009-12,387.42
2010-01,388.71
2010-02,390.2
2010-03,391.17
2010-04,392.46
2010-05,393.0
2010-06,392.15
2010-07,390.2
2010-08,388.35
2010-09,386.85
2010-10,387.24
2010-11,388.67
2010-12,389.79
2011-01,391.33
2011-02,391.86
2011-03,392.6
2011-04,393.25
2011-05,394.19
2011-06,393.73
2011-07,392.51
2011-08,390.13
2011-09,389.08
2011-10,389.0
2011-11,390.28
2011-12,391.86
2012-01,393.12
2012-02,393.86
2012-03,394.4
2012-04,396.18
2012-05,396.74
2012-06,395.71
2012-07,394.36
2012-08,392.39
2012-09,391.11
2012-10,391.05
2012-11,392.98
2012-12,394.34
2013-01,395.55
2013-02,396.8
2013-03,397.43
2013-04,398.41
2013-05,399.78
2013-06,398.61
2013-07,397.32
2013-08,395.2
2013-09,393.45
2013-10,393.7
2013-11,395.16
2013-12,396.84
2014-01,397.85
2014-02,398.01
2014-03,399.77
2014-04,401.38
2014-05,401.78
2014-06,401.25
2014-07,399.1
2014-08,397.03
2014-09,395.38
2014-10,396.03
2014-11,397.28
2014-12,398.91
2015-01,399.98
2015-02,400.28
2015-03,401.54
2015-04,403.28
2015-05,403.96
2015-06,402.8
2015-07,401.31
2015-08,398.93
2015-09,397.63
2015-10,398.29
2015-11,400.16
2015-12,401.85
2016-01,402.56
2016-02,404.12
2016-03,404.87
2016-04,407.45
2016-05,407.72
2016-06,406.83
2016-07,404.41
2016-08,402.27
2016-09,401.05
2016-10,401.59
2016-11,403.55
2016-12,404.45
2017-01,406.17
2017-02,406.46
2017-03,407.22
2017-04,409.04
2017-05,409.69
2017-06,408.88
2017-07,407.12
2017-08,405.13
2017-09,403.37
2017-10,403.63
2017-11,405.12
2017-12,406.81
2018-01,407.96
2018-02,408.32
2018-03,409.41
2018-04,410.24
2018-05,411.24
2018-06,410.79
2018-07,408.71
2018-08,406.99
2018-09,405.51
